Consumer_Timestamp,Producer_timestamp,Date,Time,Datetime,Record Index,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2025-04-04T15:26:44.435260,2025-04-04T14:45:34.010722,11/03/2004,20.00.00,2004-03-11T20:00:00,26,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133
2025-04-04T15:26:44.435662,2025-04-04T14:45:34.012385,11/03/2004,21.00.00,2004-03-11T21:00:00,27,3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419
2025-04-04T15:26:44.436268,2025-04-04T14:45:34.013868,11/03/2004,22.00.00,2004-03-11T22:00:00,28,1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905
2025-04-04T15:26:44.436754,2025-04-04T14:45:34.015364,11/03/2004,23.00.00,2004-03-11T23:00:00,29,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657
2025-04-04T15:26:44.437029,2025-04-04T14:45:34.016752,12/03/2004,00.00.00,2004-03-12T00:00:00,30,1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438
2025-04-04T15:26:44.437341,2025-04-04T14:45:34.018404,12/03/2004,01.00.00,2004-03-12T01:00:00,31,1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308
2025-04-04T15:26:44.437640,2025-04-04T14:45:34.019595,12/03/2004,02.00.00,2004-03-12T02:00:00,32,1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276
2025-04-04T15:26:44.437940,2025-04-04T14:45:34.021051,12/03/2004,03.00.00,2004-03-12T03:00:00,33,0.8,889.0,21.0,1.9,574.0,,1680.0,,1187.0,512.0,7.0,62.3,0.6261
2025-04-04T15:26:44.438256,2025-04-04T14:45:34.022432,12/03/2004,04.00.00,2004-03-12T04:00:00,34,,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248
2025-04-04T15:26:44.438528,2025-04-04T14:45:34.025147,12/03/2004,05.00.00,2004-03-12T05:00:00,35,0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233
2025-04-04T15:26:44.438821,2025-04-04T14:45:34.026637,12/03/2004,06.00.00,2004-03-12T06:00:00,36,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234
2025-04-04T15:26:44.439087,2025-04-04T14:45:34.028337,12/03/2004,07.00.00,2004-03-12T07:00:00,37,1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316
2025-04-04T15:26:44.439357,2025-04-04T14:45:34.029492,12/03/2004,08.00.00,2004-03-12T08:00:00,38,4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499
2025-04-04T15:26:44.439614,2025-04-04T14:45:34.031078,12/03/2004,09.00.00,2004-03-12T09:00:00,39,,1545.0,,22.1,1353.0,,767.0,,2058.0,1588.0,9.2,56.2,0.6561
2025-04-04T15:26:44.439875,2025-04-04T14:45:34.032197,12/03/2004,10.00.00,2004-03-12T10:00:00,40,3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632
2025-04-04T15:26:44.440607,2025-04-04T14:45:34.034294,12/03/2004,11.00.00,2004-03-12T11:00:00,41,2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243
2025-04-04T15:26:44.441616,2025-04-04T14:45:34.035382,12/03/2004,12.00.00,2004-03-12T12:00:00,42,2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195
2025-04-04T15:26:44.442688,2025-04-04T14:45:34.036754,12/03/2004,13.00.00,2004-03-12T13:00:00,43,2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262
2025-04-04T15:26:44.443073,2025-04-04T14:45:34.038438,12/03/2004,14.00.00,2004-03-12T14:00:00,44,2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656
2025-04-04T15:26:44.443357,2025-04-04T14:45:34.039939,12/03/2004,15.00.00,2004-03-12T15:00:00,45,2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661
2025-04-04T15:26:44.444420,2025-04-04T14:45:34.041232,12/03/2004,16.00.00,2004-03-12T16:00:00,46,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657
2025-04-04T15:26:44.444760,2025-04-04T14:45:34.042402,12/03/2004,17.00.00,2004-03-12T17:00:00,47,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549
2025-04-04T15:26:44.445027,2025-04-04T14:45:34.043440,12/03/2004,18.00.00,2004-03-12T18:00:00,48,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766
2025-04-04T15:26:44.445317,2025-04-04T14:45:34.046405,12/03/2004,19.00.00,2004-03-12T19:00:00,49,3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084
2025-04-04T15:26:44.445535,2025-04-04T14:45:34.047657,12/03/2004,20.00.00,2004-03-12T20:00:00,50,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478
2025-04-04T15:26:44.445741,2025-04-04T14:45:34.048868,12/03/2004,21.00.00,2004-03-12T21:00:00,51,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536
2025-04-04T15:26:44.446024,2025-04-04T14:45:34.050122,12/03/2004,22.00.00,2004-03-12T22:00:00,52,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774
2025-04-04T15:26:44.446326,2025-04-04T14:45:34.051475,12/03/2004,23.00.00,2004-03-12T23:00:00,53,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771
2025-04-04T15:26:44.446629,2025-04-04T14:45:34.052845,13/03/2004,00.00.00,2004-03-13T00:00:00,54,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597
2025-04-04T15:26:44.446915,2025-04-04T14:45:34.054146,13/03/2004,01.00.00,2004-03-13T01:00:00,55,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423
2025-04-04T15:26:44.447214,2025-04-04T14:45:34.055294,13/03/2004,02.00.00,2004-03-13T02:00:00,56,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256
2025-04-04T15:26:44.448966,2025-04-04T14:45:34.056507,13/03/2004,03.00.00,2004-03-13T03:00:00,57,1.7,1172.0,46.0,5.4,783.0,,1179.0,,1380.0,996.0,7.8,67.5,0.7173
2025-04-04T15:26:44.449573,2025-04-04T14:45:34.057780,13/03/2004,04.00.00,2004-03-13T04:00:00,58,,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158
2025-04-04T15:26:44.450111,2025-04-04T14:45:34.059022,13/03/2004,05.00.00,2004-03-13T05:00:00,59,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982
2025-04-04T15:26:44.450513,2025-04-04T14:45:34.060435,13/03/2004,06.00.00,2004-03-13T06:00:00,60,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887
2025-04-04T15:26:44.450814,2025-04-04T14:45:34.061631,13/03/2004,07.00.00,2004-03-13T07:00:00,61,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932
2025-04-04T15:26:44.451129,2025-04-04T14:45:34.063379,13/03/2004,08.00.00,2004-03-13T08:00:00,62,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945
2025-04-04T15:26:44.451449,2025-04-04T14:45:34.064177,13/03/2004,09.00.00,2004-03-13T09:00:00,63,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124
2025-04-04T15:26:44.451752,2025-04-04T14:45:34.065312,13/03/2004,10.00.00,2004-03-13T10:00:00,64,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335
2025-04-04T15:26:44.452018,2025-04-04T14:45:34.067106,13/03/2004,11.00.00,2004-03-13T11:00:00,65,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451
2025-04-04T15:26:44.452288,2025-04-04T14:45:34.068484,13/03/2004,12.00.00,2004-03-13T12:00:00,66,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709
2025-04-04T15:26:44.452561,2025-04-04T14:45:34.069740,13/03/2004,13.00.00,2004-03-13T13:00:00,67,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695
2025-04-04T15:26:44.452896,2025-04-04T14:45:34.070938,13/03/2004,14.00.00,2004-03-13T14:00:00,68,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127
2025-04-04T15:26:44.453238,2025-04-04T14:45:34.071629,13/03/2004,15.00.00,2004-03-13T15:00:00,69,2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042
2025-04-04T15:26:44.453446,2025-04-04T14:45:34.072687,13/03/2004,16.00.00,2004-03-13T16:00:00,70,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012
2025-04-04T15:26:44.453639,2025-04-04T14:45:34.073789,13/03/2004,17.00.00,2004-03-13T17:00:00,71,2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117
2025-04-04T15:26:44.453943,2025-04-04T14:45:34.075098,13/03/2004,18.00.00,2004-03-13T18:00:00,72,3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451
2025-04-04T15:26:44.454261,2025-04-04T14:45:34.076154,13/03/2004,19.00.00,2004-03-13T19:00:00,73,4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569
2025-04-04T15:26:44.454651,2025-04-04T14:45:34.077351,13/03/2004,20.00.00,2004-03-13T20:00:00,74,4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786
2025-04-04T15:26:44.455220,2025-04-04T14:45:34.078427,13/03/2004,21.00.00,2004-03-13T21:00:00,75,4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091
2025-04-04T15:26:44.455816,2025-04-04T14:45:34.079401,13/03/2004,22.00.00,2004-03-13T22:00:00,76,3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806
2025-04-04T15:26:44.456240,2025-04-04T14:45:34.081009,13/03/2004,23.00.00,2004-03-13T23:00:00,77,2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193
2025-04-04T15:26:44.456647,2025-04-04T14:45:34.082159,14/03/2004,00.00.00,2004-03-14T00:00:00,78,2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498
2025-04-04T15:26:44.456999,2025-04-04T14:45:34.083665,14/03/2004,01.00.00,2004-03-14T01:00:00,79,2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536
2025-04-04T15:26:44.457322,2025-04-04T14:45:34.084809,14/03/2004,02.00.00,2004-03-14T02:00:00,80,2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537
2025-04-04T15:26:44.457612,2025-04-04T14:45:34.085781,14/03/2004,03.00.00,2004-03-14T03:00:00,81,2.4,1344.0,132.0,9.7,968.0,,921.0,,1620.0,1278.0,11.6,63.4,0.8674
2025-04-04T15:26:44.457946,2025-04-04T14:45:34.086823,14/03/2004,04.00.00,2004-03-14T04:00:00,82,,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603
2025-04-04T15:26:44.458264,2025-04-04T14:45:34.087931,14/03/2004,05.00.00,2004-03-14T05:00:00,83,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533
2025-04-04T15:26:44.458512,2025-04-04T14:45:34.089318,14/03/2004,06.00.00,2004-03-14T06:00:00,84,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473
2025-04-04T15:26:44.458878,2025-04-04T14:45:34.090748,14/03/2004,07.00.00,2004-03-14T07:00:00,85,0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853
2025-04-04T15:26:44.459090,2025-04-04T14:45:34.091465,14/03/2004,08.00.00,2004-03-14T08:00:00,86,1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853
2025-04-04T15:26:44.459322,2025-04-04T14:45:34.092336,14/03/2004,09.00.00,2004-03-14T09:00:00,87,1.6,1235.0,57.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627
2025-04-04T15:26:44.459529,2025-04-04T14:45:34.093380,14/03/2004,10.00.00,2004-03-14T10:00:00,88,2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728
2025-04-04T15:26:44.459754,2025-04-04T14:45:34.094422,14/03/2004,11.00.00,2004-03-14T11:00:00,89,2.8,1445.0,148.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789
2025-04-04T15:26:44.460118,2025-04-04T14:45:34.095705,14/03/2004,12.00.00,2004-03-14T12:00:00,90,2.8,1416.0,145.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474
2025-04-04T15:26:44.460586,2025-04-04T14:45:34.097007,14/03/2004,13.00.00,2004-03-14T13:00:00,91,2.0,1281.0,93.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812
2025-04-04T15:26:44.460881,2025-04-04T14:45:34.098268,14/03/2004,14.00.00,2004-03-14T14:00:00,92,1.8,1207.0,84.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616
2025-04-04T15:26:44.461152,2025-04-04T14:45:34.099703,14/03/2004,15.00.00,2004-03-14T15:00:00,93,1.9,1258.0,99.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525
2025-04-04T15:26:44.461587,2025-04-04T14:45:34.100579,14/03/2004,16.00.00,2004-03-14T16:00:00,94,3.0,1458.0,150.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516
2025-04-04T15:26:44.461942,2025-04-04T14:45:34.101691,14/03/2004,17.00.00,2004-03-14T17:00:00,95,2.9,1438.0,156.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696
2025-04-04T15:26:44.462498,2025-04-04T14:45:34.102610,14/03/2004,18.00.00,2004-03-14T18:00:00,96,2.5,1478.0,122.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307
2025-04-04T15:26:44.463081,2025-04-04T14:45:34.103813,14/03/2004,19.00.00,2004-03-14T19:00:00,97,4.6,1808.0,262.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732
2025-04-04T15:26:44.463590,2025-04-04T14:45:34.105536,14/03/2004,20.00.00,2004-03-14T20:00:00,98,5.9,1898.0,341.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921
2025-04-04T15:26:44.464145,2025-04-04T14:45:34.106365,14/03/2004,21.00.00,2004-03-14T21:00:00,99,3.4,1560.0,214.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932
2025-04-04T15:26:44.464383,2025-04-04T14:45:34.107388,14/03/2004,22.00.00,2004-03-14T22:00:00,100,2.1,1324.0,100.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341
2025-04-04T15:26:44.464849,2025-04-04T14:45:34.108387,14/03/2004,23.00.00,2004-03-14T23:00:00,101,2.2,1349.0,79.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314
2025-04-04T15:26:44.465063,2025-04-04T14:45:34.110997,15/03/2004,00.00.00,2004-03-15T00:00:00,102,1.8,1239.0,66.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164
2025-04-04T15:26:44.465340,2025-04-04T14:45:34.112691,15/03/2004,01.00.00,2004-03-15T01:00:00,103,1.8,1239.0,73.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094
2025-04-04T15:26:44.465618,2025-04-04T14:45:34.114084,15/03/2004,02.00.00,2004-03-15T02:00:00,104,1.8,1224.0,66.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361
2025-04-04T15:26:44.465883,2025-04-04T14:45:34.115529,15/03/2004,03.00.00,2004-03-15T03:00:00,105,1.1,1078.0,44.0,4.4,734.0,,1128.0,,1487.0,1021.0,12.6,63.5,0.923
2025-04-04T15:26:44.466147,2025-04-04T14:45:34.116788,15/03/2004,04.00.00,2004-03-15T04:00:00,106,,1078.0,44.0,4.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351
2025-04-04T15:26:44.466403,2025-04-04T14:45:34.118010,15/03/2004,05.00.00,2004-03-15T05:00:00,107,1.0,1075.0,39.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375
2025-04-04T15:26:44.466660,2025-04-04T14:45:34.119407,15/03/2004,06.00.00,2004-03-15T06:00:00,108,1.4,1157.0,51.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475
2025-04-04T15:26:44.466910,2025-04-04T14:45:34.120836,15/03/2004,07.00.00,2004-03-15T07:00:00,109,2.2,1314.0,107.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401
2025-04-04T15:26:44.467181,2025-04-04T14:45:34.121635,15/03/2004,08.00.00,2004-03-15T08:00:00,110,5.5,1797.0,336.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917
2025-04-04T15:26:44.467437,2025-04-04T14:45:34.122578,15/03/2004,09.00.00,2004-03-15T09:00:00,111,8.1,1961.0,618.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076
2025-04-04T15:26:44.467690,2025-04-04T14:45:34.123640,15/03/2004,10.00.00,2004-03-15T10:00:00,112,5.8,1771.0,438.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993
2025-04-04T15:26:44.467976,2025-04-04T14:45:34.125123,15/03/2004,11.00.00,2004-03-15T11:00:00,113,4.2,1564.0,334.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801
2025-04-04T15:26:44.468312,2025-04-04T14:45:34.126699,15/03/2004,12.00.00,2004-03-15T12:00:00,114,3.1,1430.0,221.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904
2025-04-04T15:26:44.468791,2025-04-04T14:45:34.128155,15/03/2004,13.00.00,2004-03-15T13:00:00,115,2.9,1417.0,207.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096
2025-04-04T15:26:44.469505,2025-04-04T14:45:34.129316,15/03/2004,14.00.00,2004-03-15T14:00:00,116,2.9,1400.0,191.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757
2025-04-04T15:26:44.469979,2025-04-04T14:45:34.130577,15/03/2004,15.00.00,2004-03-15T15:00:00,117,2.5,1317.0,185.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736
